context,candidates,target_position,target_lemma,pos_tag,gold_subst,gold_subst_weights
"['That', ""'s"", 'not', 'to', 'say', 'the', 'process', 'of', 'actual', 'negotiating', 'is', ""n't"", 'taking', 'place', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",12,take,v,"['happen', 'occur']","[3.0, 2.0]"
"['""', 'Hugh', 'Grant', 'and', 'Alan', 'Rickman', ',', 'as', 'Edward', 'and', 'Col.', 'Brandon', 'respectively', ',', 'took', 'the', 'most', 'chances', 'and', 'the', 'various', 'reviewers', 'therefore', 'either', 'love', 'or', 'hate', 'their', 'performances', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",14,take,v,"['experiment in their roles', 'risk']","[1.0, 1.0]"
"['It', 'should', ""n't"", 'take', 'that', 'long', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",3,take,v,"['last', 'be', 'engage for']","[2.0, 1.0, 1.0]"
"['It', 'only', 'affects', 'the', 'start', 'up', 'time', 'of', 'a', 'program', ',', 'and', 'for', 'a', 'process', 'that', 'takes', 'several', 'months', '(', 'his', 'code', 'was', 'computing', 'the', '196', 'Palindrome', 'Quest', ')', ',', 'it', 'does', 'not', 'matter', 'if', 'the', 'initialization', 'code', 'takes', '1/1,000th', 'of', 'a', 'second', 'or', '1/10,000th', 'of', 'a', 'second', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",16,take,v,"['last', 'occupy']","[3.0, 2.0]"
"['If', 'we', 'take', 'the', 'factual', 'context', 'in', 'which', 'the', 'term', 'is', 'used', 'into', 'consideration', ',', 'then', 'its', 'extension', 'becomes', 'limited', ',', 'owing', 'to', 'the', 'context', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",2,take,v,"['consider', 'accept', 'include', 'think about']","[2.0, 1.0, 1.0, 1.0]"
"['If', 'you', 'do', ""n't"", 'take', 'the', 'risk', 'of', 'dying', 'by', 'driving', 'to', 'the', 'store', ',', 'your', 'house', 'could', 'collapse', 'on', 'you', 'and', 'kill', 'you', 'anyway', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",4,take,v,"['tolerate', 'run', 'undergo', 'accept', 'risk']","[1.0, 1.0, 1.0, 1.0, 1.0]"
"['The', 'Governor', 'took', 'the', 'big', 'sheets', 'of', 'imitation', 'parchment', ',', 'glanced', 'over', 'them', ',', 'signed', 'his', 'name', 'to', 'each', ',', 'laid', 'down', 'the', 'pen', ',', 'and', 'handed', 'the', 'papers', 'across', 'the', 'table', 'to', 'Dreier', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",2,take,v,"['pick up', 'gather', 'collect', 'get', 'grasp']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"[""O'Neill"", 'and', 'the', 'two', 'men', 'who', 'worked', 'under', 'his', 'supervision', 'maintained', 'the', 'avenue', ',', 'raking', 'the', 'thin', 'gravel', 'and', 'removing', 'any', 'weed', 'that', 'tried', 'to', 'take', 'root', 'in', 'the', 'stony', 'earth', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",25,take,v,"['grow', 'establish itself']","[4.0, 1.0]"
"['Even', 'if', 'the', 'Anglo-French', 'Summit', 'did', 'not', 'take', 'place', 'until', 'next', 'year', ',', 'the', 'Prime', 'Minister', 'and', 'President', 'Chirac', 'were', 'still', 'due', 'to', 'see', 'each', 'other', 'in', 'November', 'and', 'December', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",7,take,v,"['occur', 'happen']","[4.0, 2.0]"
"['40', 'Day-to-day', 'financial', 'and', 'operational', 'management', 'is', 'the', 'responsibility', 'of', 'the', 'Chief', 'Officer', ',', 'who', 'took', 'up', 'her', 'post', 'in', 'June', '2001', '.']","['accept', 'assume', 'be', 'begin', 'collect', 'consider', 'gather', 'get', 'grasp', 'grow', 'happen', 'include', 'last', 'occupy', 'occur', 'risk', 'run', 'start', 'tolerate', 'undergo']",15,take,v,"['assume', 'begin', 'start']","[2.0, 2.0, 1.0]"
"['Anyway', ',', 'my', 'pants', 'are', 'getting', 'tight', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",6,tight,r,"['constricting', 'small', 'too small', 'uncomfortable', 'constricted', 'close-fitting']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['With', 'the', 'physical', 'market', 'has', 'tight', 'as', 'it', 'has', 'been', 'in', 'memory', ',', 'silver', 'could', 'fly', 'at', 'any', 'time', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",5,tight,r,"['high-strung', 'low', 'pressurised', 'constricted']","[1.0, 1.0, 1.0, 1.0]"
"['More', '...', 'Specialty', 'coffee', 'market', 'quiet', ',', 'supplies', 'tight', 'Posted', 'at', '2:57', 'PM', 'by', 'Robert', 'Badgett', 'By', 'Bruce', 'Kamich', 'NEW', 'YORK', ',', 'June', '6', '(', 'Reuters', ')', '-', 'Specialty', 'coffee', 'dealers', 'said', 'on', 'Friday', 'that', 'business', 'was', 'unusually', 'quiet', 'with', 'most', 'retailers', ""'"", 'sales', 'numbers', 'down', 'from', 'a', 'year', 'ago', ',', 'but', 'prices', 'for', 'choice', 'beans', 'remained', 'firm', 'with', 'supplies', 'short', 'until', 'the', 'next', 'crops', 'become', 'available', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",8,tight,r,"['scarce', 'sparse', 'constricted', 'not easily available']","[1.0, 1.0, 1.0, 1.0]"
"['If', 'your', 'money', 'is', 'tight', 'do', ""n't"", 'cut', 'corners', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",4,tight,r,"['scarce', 'close', 'constricted', 'not easily available']","[1.0, 1.0, 1.0, 1.0]"
"['Each', 'child', 'lies', 'inside', 'an', 'Isolette', 'incubator', ',', 'a', 'clear', 'acrylic', 'rectangle', 'with', 'ample', 'room', 'for', 'a', 'half-sized', 'premature', 'baby', ',', 'though', 'the', 'quarters', 'become', 'tight', 'for', 'the', 'full-term', 'eight-pounders', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",25,tight,r,"['close-fitting', 'too small', 'constricted', 'restricted', 'cramped']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['""', 'It', 'can', 'be', 'intimidating', 'at', 'first', ',', 'because', 'they', 'wrap', 'their', 'arms', 'pretty', 'tight', 'around', 'you', ',', 'and', 'everything', 'they', 'latch', 'onto', 'is', 'pretty', 'much', 'headed', 'straight', 'to', 'their', 'mouth', ',', '""', 'Schmitz', 'said', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",14,tight,r,"['closely', 'close', 'firmly']","[1.0, 1.0, 1.0]"
"['The', 'incisions', 'will', 'feel', 'tight', 'for', 'the', 'first', '24-48', 'hours', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",4,tight,r,"['compressed', 'uncomfortable', 'constricted', 'stretched']","[1.0, 1.0, 1.0, 1.0]"
"['Except', 'for', 'the', 'soldiers', ',', 'Goth', 'was', 'locked', 'up', 'tight', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",9,tight,r,"['secure', 'securely', 'firmly']","[2.0, 1.0, 1.0]"
"['Nathan', 'Robins', ':', 'Did', 'well', 'to', 'keep', 'tight', 'on', 'the', 'Left', 'winger', 'and', 'was', 'harshly', 'judged', 'by', 'the', 'referee', 'on', 'several', 'occasions', 'to', 'have', 'fouled', 'the', 'opposing', 'player', 'when', 'I', 'felt', 'he', 'just', 'out', 'muscled', 'him', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",7,tight,r,"['close to', 'on top of', 'close', 'close by', 'near']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['I', 'know', 'that', 'the', 'market', 'is', 'tight', 'right', 'now', '.']","['close', 'closely', 'compressed', 'constricted', 'constricting', 'cramped', 'firmly', 'low', 'near', 'pressured', 'pressurised', 'restricted', 'scarce', 'secure', 'securely', 'small', 'sparse', 'stretched', 'uncomfortable']",6,tight,r,"['close', 'pressured', 'low', 'constricted', 'restricted']","[1.0, 1.0, 1.0, 1.0, 1.0]"
"['That', ""'s"", 'not', 'a', 'very', 'high', 'bar', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",6,bar,n,"['marker', 'level', 'barrier', 'pole', 'obstruction', 'hurdle']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['This', 'more', 'upright', 'position', 'is', 'most', 'easily', 'and', 'affordably', 'achieved', 'through', 'slapping', 'a', 'riser', 'bar', 'on', 'your', 'setup', ',', 'and', 'only', 'requires', 'you', 'to', 'buy', 'a', 'bar', 'instead', 'of', 'a', 'bar', 'and', 'stem', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",30,bar,n,['handlebar'],[1.0]
"['For', 'twelve', 'hours', 'Livewire', 'will', 'be', 'broadcasting', 'live', 'from', 'the', 'blue', 'bar', 'of', 'Union', 'House', 'at', 'UEA', 'in', 'an', 'attempt', 'to', 'raise', 'as', 'much', 'money', 'as', 'possible', 'for', 'a', 'very', 'worthy', 'cause', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",11,bar,n,"['pub', 'drinking house', 'hostelry', 'saloon']","[3.0, 1.0, 1.0, 1.0]"
"['The', 'British', 'government', 'imposed', 'a', 'colour', 'bar', 'in', 'its', 'colonies', ',', 'so', 'young', 'blacks', 'went', 'in', 'only', 'for', 'law', 'or', 'medicine', 'where', 'they', 'could', 'make', 'a', 'living', 'without', 'government', 'support', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",6,bar,n,"['restriction', 'ban', 'exclusion', 'prohibition']","[3.0, 2.0, 1.0, 1.0]"
"['Put', 'granola', 'bars', 'in', 'bowl', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",2,bar,n,"['snack', 'biscuit', 'slab', 'block']","[2.0, 1.0, 1.0, 1.0]"
"['It', ""'s"", 'been', 'a', 'criticism', 'of', 'IE', ""'s"", 'scrollbar', 'CSS', 'and', 'also', 'stands', 'for', 'the', 'status', 'bar', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",16,bar,n,"['banner', 'indicator', 'menu']","[1.0, 1.0, 1.0]"
"['2', ')', 'Straddling', 'the', 'center', 'bar', ',', 'your', 'child', 'should', 'be', 'able', 'to', 'keep', 'both', 'feet', 'flat', 'on', 'the', 'ground', 'with', 'about', 'a', '1-inch', 'clearance', 'between', 'the', 'crotch', 'and', 'the', 'bar', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",30,bar,n,"['pole', 'apparatus', 'metal', 'crossbar', 'rod']","[1.0, 1.0, 1.0, 1.0, 1.0]"
"['Seventy-five', 'percent', 'of', 'my', 'clientele', 'that', 'comes', 'in', 'there', ',', 'they', 'are', 'just', 'like', 'a', 'person', 'on', 'a', 'Friday', 'afternoon', 'going', 'into', 'a', 'bar', ',', 'and', 'he', 'sits', 'at', 'the', 'counter', ',', 'and', 'the', 'bartender', 'knows', 'what', 'he', 'wants', 'to', 'drink', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",23,bar,n,"['pub', 'saloon']","[5.0, 2.0]"
"['The', 'night', 'is', 'long', 'at', 'the', 'numerous', 'other', 'discos', 'and', 'clubs', ',', 'but', 'for', 'those', 'seeking', 'something', 'more', 'sedate', 'there', 'are', 'quieter', ',', 'sophisticated', 'bars', 'in', 'the', 'hotels', '.']","['apparatus', 'ban', 'banner', 'barrier', 'biscuit', 'block', 'crossbar', 'exclude', 'exclusion', 'handlebar', 'hostelry', 'hurdle', 'indicator', 'level', 'lounge', 'marker', 'menu', 'metal', 'obstruct', 'obstruction', 'pole', 'prevent', 'prohibition', 'pub', 'restriction', 'rod', 'saloon', 'slab', 'snack']",24,bar,n,"['lounge', 'pub', 'drinking lounge']","[1.0, 1.0, 1.0]"
